character,total_lines,avg_sentiment
VINCENT,252,0.009
JULES,205,0.032
BUTCH,131,0.048
FABIENNE,87,0.004
MIA,80,0.055
"THE WOLF",46,0.156
LANCE,46,0.033
PUMPKIN,34,0.024
"YOUNG MAN",27,0.147
JIMMIE,26,0.093
BRETT,26,0.045
"YOUNG WOMAN",24,0.11
ESMARELDA,20,-0.08
MAYNARD,18,-0.008
JODY,16,-0.044
MARSELLUS,12,0.116
"HONEY BUNNY",10,-0.185
ZED,9,0.067
"ENGLISH DAVE",9,0.03
WINSTON,8,0.039
"MARSELLUS (O.S.)",8,-0.087
"ED SULLIVAN",7,0.109
"VINCENT (O.S.)",6,-0.109
BUDDY,6,0.045
YOLANDA,5,-0.094
MANAGER,5,-0.042
"JODY (O.S.)",5,-0.136
RAQUEL,4,0.144
"LIVING ROOM",4,-0.302
"JULES (O.S.)",4,0.224
"BUTCH (O.S.)",4,0.153
"SPORTSCASTER #1 (O.S.)",3,-0.193
"MAYNARD (O.S.)",3,-0.127
"LANCE (O.S.)",3,0.0
"FABIENNE (O.S.)",3,-0.294
WAITRESS,2,0.0
"SPORTSCASTER #2 (O.S.)",2,-0.019
MOTHER,2,-0.011
MARVIN,2,0.0
"GAWKER #2",2,0.0
"FOURTH MAN",2,-0.475
"ENGLISH DAVE (O.S.)",2,0.0
"CUT TO:",2,0.0
"CAPT. KOONS",2,0.159
BATHROOM,2,0.0
"ZED (O.S.)",1,-0.677
"WOMAN'S VOICE (O.S.)",1,0.0
"VINCENT IN THE MALIBU",1,0.361
TRUDI,1,-0.34
"TITLE DISAPPEARS.",1,0.0
"TITLE CARD:",1,0.0
"TITLE CARD OVER BLACK:",1,0.0
"THROUGH THE WINDSHIELD",1,0.0
"THE GIMP.",1,0.0
"THE GIMP",1,0.0
ROGER,1,0.0
"PREACHER MAN"".",1,0.0
"PREACHER (EMIL SIMKUS)",1,0.0
PEDESTRIAN,1,0.226
PATRON,1,0.0
"MOTEL ROOM � MORNING",1,0.0
"MOTEL ROOM",1,-0.202
"MIA (V.O.)",1,0.0
"LOOKY-LOO WOMAN",1,0.338
"LANCE AND VINCENT",1,0.0
KLONDIKE,1,0.0
KABOOM!!!!,1,-0.782
"HE WRITES:",1,0.0
"GAWKER #1",1,0.0
"FADE UP ON:",1,0.0
"FADE TO WHITE",1,0.0
"FADE TO BLACK",1,0.34
"FADE IN:",1,0.0
"COOLIDGE"".",1,0.0
"CLOSEUP � VINCENT'S THUMB",1,0.0
"CLOSEUP � VINCENT",1,-0.296
"CLOSEUP � THE NEEDLE",1,0.0
"CLOSEUP � NOTE",1,0.0
"CLOSEUP � MIA",1,-0.428
"CLOSEUP � JODY",1,0.542
"CLOSEUP � BLOOD",1,-0.494
"BUTCH'S POV",1,0.0
"BRETT (O.S.)",1,0.457
"(TO JULES)",1,0.0
(PAUSE),1,0.0
"""THE GOLD WATCH""",1,0.0
